'CUSTOMERID',TRANSACTIONDATE,'EMPLOYEEID','AMOUNT','DESCRIPTION','REFERENCE'
3880,'1996-08-10',15293,2072.19,'Order was shipped',3998
3880,'2003-01-12',98766,-2434.3,'Single/final payment for purchase',22434
3881,'1996-06-10',87295,2423.64,'Order was shipped',3999
3881,'1996-09-29',34192,-1211.81,'Monthly payment #1',3999
3881,'1996-10-20',51512,-1211.82,'Monthly payment #2',3999
3882,'1996-12-08',15293,2097.03,'Order was shipped',4000
3882,'1997-01-24',51512,-2097.02,'Single/final payment for purchase',4000
3883,'1997-05-05',98766,-416.8,'Monthly payment #5',4001
3883,'2003-03-23',15293,3218.19,'Order was shipped',22904
3883,'1998-12-29',51512,-558.1099,'Monthly payment #4',8637
3883,'1998-10-09',87295,-558.09,'Monthly payment #3',8637
3883,'1998-08-26',46583,-558.09,'Monthly payment #2',8637
3883,'2003-04-24',46583,-3218.19,'Single/final payment for purchase',22904
3883,'1997-04-15',46583,-416.8,'Monthly payment #4',4001
3883,'1997-03-15',29387,-416.8,'Monthly payment #3',4001
3883,'1997-02-05',51512,-416.8,'Monthly payment #2',4001
3883,'1997-01-06',46583,-416.8,'Monthly payment #1',4001
3883,'1996-10-23',89097,2084,'Order was shipped',4001
3883,'1998-07-31',29387,-558.09,'Monthly payment #1',8637
3883,'1998-05-11',29387,2232.39,'Order was shipped',8637
3884,'1996-10-19',29387,3437.64,'Order was shipped',4002
3884,'1998-08-16',89097,2697.62,'Order was shipped',8666
3884,'1997-03-28',15293,-1145.87,'Monthly payment #3',4002
3884,'1996-12-27',34192,-1145.89,'Monthly payment #1',4002
3884,'1998-09-23',51512,-2697.61,'Single/final payment for purchase',8666
3884,'1997-02-07',34192,-1145.88,'Monthly payment #2',4002
3885,'1997-09-02',98766,-279.13,'Monthly payment #5',4003
3885,'1997-10-29',46583,-279.13,'Monthly payment #7',4003
3885,'1997-12-05',15293,-279.09,'Monthly payment #8',4003
3885,'1997-09-29',34192,-279.13,'Monthly payment #6',4003
3885,'1997-08-04',87295,-279.13,'Monthly payment #4',4003
3885,'1997-07-07',89097,-279.13,'Monthly payment #3',4003
3885,'1997-04-12',51512,-279.13,'Monthly payment #2',4003
3885,'1996-12-22',51512,2233,'Order was shipped',4003
3885,'1997-03-06',34192,-279.13,'Monthly payment #1',4003
3886,'1996-10-12',51512,1697.5,'Order was shipped',4004
3886,'1996-11-19',15293,-1697.5,'Single/final payment for purchase',4004
3887,'1996-02-23',15293,-3640,'Single/final payment for purchase',4005
3887,'1996-01-11',29387,3640,'Order was shipped',4005
3888,'1996-12-18',15293,-2418.77,'Single/final payment for purchase',4006
3888,'1996-11-07',29387,2418.78,'Order was shipped',4006
3889,'1996-02-01',87295,1697.5,'Order was shipped',4007
3889,'1996-04-19',34192,-848.75,'Monthly payment #1',4007
3889,'1996-05-19',51512,-848.75,'Monthly payment #2',4007
3890,'1996-02-08',89097,2412.6,'Order was shipped',4008
3890,'1996-03-14',51512,-2412.6,'Single/final payment for purchase',4008
3890,'1998-04-03',29387,2709.39,'Order was shipped',8647
3890,'1998-06-19',51512,-903.13,'Monthly payment #1',8647
3890,'1998-07-18',34192,-903.13,'Monthly payment #2',8647
3890,'1998-09-05',46583,-903.1199,'Monthly payment #3',8647
3891,'1996-09-20',89097,-821.88,'Monthly payment #2',4009
3891,'1996-10-13',29387,-821.88,'Monthly payment #3',4009
3891,'1996-08-15',89097,-821.88,'Monthly payment #1',4009
3891,'1996-05-30',29387,3287.5,'Order was shipped',4009
3891,'1996-11-07',87295,-821.8599,'Monthly payment #4',4009
3892,'1996-09-13',51512,2290.62,'Order was shipped',4010
3892,'1996-12-03',89097,-1145.32,'Monthly payment #1',4010
3892,'1997-02-20',51512,-1145.3,'Monthly payment #2',4010
3893,'1996-10-05',34192,-763.33,'Monthly payment #1',4011
3893,'1996-10-31',34192,-763.33,'Monthly payment #2',4011
3893,'1996-07-19',51512,2290,'Order was shipped',4011
3893,'1996-12-03',34192,-763.34,'Monthly payment #3',4011
3894,'1997-01-12',87295,2359,'Order was shipped',4012
3894,'1997-02-22',34192,-2359,'Single/final payment for purchase',4012
3895,'1996-04-11',87295,2025.19,'Order was shipped',4013
3895,'1996-12-17',29387,-289.3298,'Monthly payment #7',4013
3895,'1996-11-23',89097,-289.31,'Monthly payment #6',4013
3895,'1996-11-02',29387,-289.31,'Monthly payment #5',4013
3895,'1996-08-27',34192,-289.31,'Monthly payment #3',4013
3895,'1996-06-20',87295,-289.31,'Monthly payment #1',4013
3895,'1996-07-16',46583,-289.31,'Monthly payment #2',4013
3895,'1996-09-24',51512,-289.31,'Monthly payment #4',4013
3896,'1996-05-28',87295,2149,'Order was shipped',4014
3896,'1996-07-11',29387,-2149,'Single/final payment for purchase',4014
3896,'2003-11-11',89097,4648,'Order was shipped',25196
3896,'2003-12-17',98766,-4648,'Single/final payment for purchase',25196
3897,'2003-02-01',51512,2200.6,'Order was shipped',21824
3897,'2003-03-02',98766,-2200.59,'Single/final payment for purchase',21824
3897,'1997-01-09',29387,-2147.6,'Single/final payment for purchase',4015
3897,'1996-12-01',87295,2147.6,'Order was shipped',4015
3898,'1996-08-08',29387,-2380,'Single/final payment for purchase',4016
3898,'1996-06-23',87295,2380,'Order was shipped',4016
3899,'1996-09-30',51512,2622.55,'Order was shipped',4017
3899,'1997-03-13',29387,-437.09,'Monthly payment #1',4017
3899,'1997-05-15',87295,-437.09,'Monthly payment #2',4017
3899,'1997-06-19',51512,-437.09,'Monthly payment #3',4017
3899,'1997-07-04',87295,-437.09,'Monthly payment #4',4017
3899,'1997-08-13',51512,-437.09,'Monthly payment #5',4017
3899,'1997-09-08',98766,-437.1001,'Monthly payment #6',4017
3900,'2002-01-23',15293,2440.22,'Order was shipped',20501
3900,'2002-02-25',98766,-2440.21,'Single/final payment for purchase',20501
3900,'1996-04-06',51512,2086.3,'Order was shipped',4018
3900,'1996-05-25',98766,-2086.3,'Single/final payment for purchase',4018
3901,'1996-12-17',51512,2264.5,'Order was shipped',4019
3901,'1997-01-25',98766,-2264.5,'Single/final payment for purchase',4019
3902,'1996-07-24',29387,3419.6,'Order was shipped',4020
3902,'1996-10-13',34192,-854.9101,'Monthly payment #1',4020
3902,'1996-11-06',46583,-854.9,'Monthly payment #2',4020
3902,'1996-12-11',51512,-854.9,'Monthly payment #3',4020
3902,'1997-01-09',51512,-854.8899,'Monthly payment #4',4020
3903,'1997-05-02',29387,-526,'Monthly payment #2',4021
3903,'1997-09-23',87295,-526,'Monthly payment #7',4021
3903,'1997-08-24',46583,-526,'Monthly payment #6',4021
3903,'1997-07-23',46583,-526,'Monthly payment #5',4021
3903,'1997-06-01',87295,-526,'Monthly payment #3',4021
4393,'1998-02-09',29387,-3091,'Single/final payment for purchase',5011
4393,'2002-06-11',29387,3652.8,'Order was shipped',20618
4393,'2002-07-14',89097,-3652.8,'Single/final payment for purchase',20618
4394,'1997-10-07',29387,2842,'Order was shipped',5012
4394,'1997-12-08',46583,-1421,'Monthly payment #1',5012
4394,'1998-01-07',34192,-1421,'Monthly payment #2',5012
4395,'1997-10-10',87295,2909.19,'Order was shipped',5013
4395,'1997-12-14',46583,-727.3,'Monthly payment #1',5013
4395,'1998-01-11',34192,-727.3,'Monthly payment #2',5013
4395,'1998-02-13',98766,-727.3,'Monthly payment #3',5013
4395,'1998-03-12',34192,-727.29,'Monthly payment #4',5013
4396,'1997-08-03',51512,2086.3,'Order was shipped',5014
4396,'1997-10-30',34192,-1043.15,'Monthly payment #2',5014
4396,'1997-10-03',46583,-1043.15,'Monthly payment #1',5014
4397,'1997-02-20',29387,2987.19,'Order was shipped',5015
4397,'1997-03-24',34192,-2987.19,'Single/final payment for purchase',5015
4398,'1997-10-20',87295,1886.88,'Order was shipped',5016
4398,'1997-11-21',34192,-1886.88,'Single/final payment for purchase',5016
4399,'1997-06-12',34192,-1259.38,'Monthly payment #1',5017
4399,'1997-07-14',51512,-1259.37,'Monthly payment #2',5017
4399,'1997-04-12',29387,3778.12,'Order was shipped',5017
4399,'1997-08-10',87295,-1259.37,'Monthly payment #3',5017
4400,'1997-09-19',15293,2826.33,'Order was shipped',5018
4400,'1997-10-19',87295,-2826.33,'Single/final payment for purchase',5018
4400,'1998-08-21',29387,2729.8,'Order was shipped',8533
4400,'1998-10-14',15293,-2729.8,'Single/final payment for purchase',8533
4401,'2002-05-19',15293,3388,'Order was shipped',20672
4401,'2002-06-20',89097,-3388,'Single/final payment for purchase',20672
4401,'1997-04-14',15293,1813,'Order was shipped',5019
4401,'1997-05-15',87295,-1813,'Single/final payment for purchase',5019
4402,'1997-01-28',87295,2690,'Order was shipped',5020
4402,'1997-03-01',87295,-2690,'Single/final payment for purchase',5020
4403,'1997-10-01',87295,1882.53,'Order was shipped',5021
4403,'1997-11-02',87295,-1882.52,'Single/final payment for purchase',5021
4404,'1997-10-13',87295,-2901.38,'Single/final payment for purchase',5022
4404,'1997-09-13',87295,2901.39,'Order was shipped',5022
4405,'1999-05-21',89097,-400.17,'Monthly payment #5',8612
4405,'1999-04-22',87295,-400.17,'Monthly payment #4',8612
4405,'1999-01-19',29387,-400.17,'Monthly payment #3',8612
4405,'1998-12-21',89097,-400.17,'Monthly payment #2',8612
4405,'1998-10-16',89097,-400.17,'Monthly payment #1',8612
4405,'1998-08-04',29387,2401,'Order was shipped',8612
4405,'1997-03-15',87295,2789.5,'Order was shipped',5023
4405,'1999-06-12',29387,-400.1499,'Monthly payment #6',8612
4405,'1997-04-19',87295,-2789.5,'Single/final payment for purchase',5023
4406,'1997-11-17',87295,-2481.87,'Single/final payment for purchase',5024
4406,'1997-10-16',15293,2481.87,'Order was shipped',5024
4407,'1997-09-01',87295,2601.1,'Order was shipped',5025
4407,'1997-10-04',87295,-2601.1,'Single/final payment for purchase',5025
4408,'1997-10-28',34192,-723.63,'Monthly payment #3',5026
4408,'1998-01-27',29387,-723.6299,'Monthly payment #6',5026
4408,'1997-11-27',51512,-723.63,'Monthly payment #4',5026
4408,'1997-09-30',51512,-723.63,'Monthly payment #2',5026
4408,'1997-08-29',46583,-723.63,'Monthly payment #1',5026
4408,'1997-05-26',87295,4341.79,'Order was shipped',5026
4408,'1998-01-02',34192,-723.63,'Monthly payment #5',5026
4409,'1997-09-01',51512,1882.59,'Order was shipped',5027
4409,'1997-10-02',29387,-1882.58,'Single/final payment for purchase',5027
4410,'1997-11-28',29387,-4338.53,'Single/final payment for purchase',5028
4410,'2003-08-22',15293,-616.74,'Monthly payment #4',22900
4410,'2003-09-22',87295,-616.75,'Monthly payment #5',22900
4410,'2003-07-22',51512,-616.74,'Monthly payment #3',22900
4410,'2003-03-19',87295,3083.72,'Order was shipped',22900
4410,'1997-10-29',51512,4338.54,'Order was shipped',5028
4410,'2003-06-19',15293,-616.74,'Monthly payment #2',22900
4410,'2003-05-21',29387,-616.74,'Monthly payment #1',22900
4411,'1997-11-16',87295,3520,'Order was shipped',5029
4411,'1997-12-19',29387,-3520,'Single/final payment for purchase',5029
4412,'1997-05-24',51512,3335.85,'Order was shipped',5030
4412,'1997-06-24',29387,-3335.85,'Single/final payment for purchase',5030
4413,'1997-04-05',15293,2956.1,'Order was shipped',5031
4413,'2002-12-28',87295,-3520.3,'Single/final payment for purchase',22042
4413,'1997-05-08',29387,-2956.1,'Single/final payment for purchase',5031
4413,'2002-11-28',29387,3520.3,'Order was shipped',22042
4414,'1997-12-20',87295,3405.47,'Order was shipped',5032
4414,'1998-01-25',29387,-3405.46,'Single/final payment for purchase',5032
4415,'1999-06-16',46583,-482.5,'Monthly payment #4',8361
4415,'1997-07-31',51512,2863,'Order was shipped',5033
4415,'1999-09-21',51512,-482.5,'Monthly payment #7',8361
4415,'1999-08-15',34192,-482.5,'Monthly payment #6',8361
4415,'1999-07-13',29387,-482.5,'Monthly payment #5',8361
4415,'1999-06-01',34192,-482.5,'Monthly payment #3',8361
4415,'1999-04-29',29387,-482.5,'Monthly payment #2',8361
4415,'1999-03-21',89097,-482.5,'Monthly payment #1',8361
4415,'1997-09-02',29387,-2863,'Single/final payment for purchase',5033
4415,'1998-11-04',51512,3377.5,'Order was shipped',8361
4416,'1998-05-18',29387,1750,'Order was shipped',8350
4416,'1999-08-20',89097,-250,'Monthly payment #7',8350
4416,'1999-08-09',87295,-250,'Monthly payment #6',8350
4416,'1999-04-07',29387,-250,'Monthly payment #5',8350
4416,'1999-01-05',51512,-250,'Monthly payment #4',8350
4416,'1998-07-18',29387,-250,'Monthly payment #1',8350
4416,'1998-09-10',89097,-250,'Monthly payment #2',8350
4416,'1998-12-10',34192,-250,'Monthly payment #3',8350
4416,'1998-04-04',89097,-608.42,'Monthly payment #5',5034
4416,'1998-03-10',51512,-608.42,'Monthly payment #4',5034
4416,'1998-02-05',34192,-608.42,'Monthly payment #3',5034
4416,'1998-01-02',51512,-608.42,'Monthly payment #2',5034
4416,'1997-12-06',98766,-608.42,'Monthly payment #1',5034
4416,'1997-10-04',87295,3650.5,'Order was shipped',5034
4416,'1998-05-10',34192,-608.4001,'Monthly payment #6',5034
4417,'1998-02-17',34192,-3705.8,'Single/final payment for purchase',5035
4417,'1998-01-15',87295,3705.8,'Order was shipped',5035
4418,'1997-12-23',51512,2359.6,'Order was shipped',5036
4418,'1998-01-28',34192,-2359.6,'Single/final payment for purchase',5036
4419,'1997-10-23',87295,1827.59,'Order was shipped',5037
4419,'1997-11-26',34192,-1827.58,'Single/final payment for purchase',5037
4420,'1997-10-31',89097,2938.75,'Order was shipped',5038
4420,'1997-12-02',34192,-2938.75,'Single/final payment for purchase',5038
4421,'1997-08-09',46583,-550.6,'Monthly payment #5',5039
4421,'1997-02-11',29387,3854.19,'Order was shipped',5039
4421,'1997-09-12',87295,-550.6,'Monthly payment #6',5039
4421,'1997-10-12',89097,-550.5898,'Monthly payment #7',5039
4421,'1997-07-17',87295,-550.6,'Monthly payment #4',5039
4421,'1997-06-10',51512,-550.6,'Monthly payment #3',5039
4421,'1997-04-18',46583,-550.6,'Monthly payment #1',5039
4421,'1997-05-12',29387,-550.6,'Monthly payment #2',5039
4422,'1998-01-10',87295,1982.5,'Order was shipped',5040
4422,'1998-03-15',15293,-283.21,'Monthly payment #1',5040
4422,'1998-04-10',98766,-283.21,'Monthly payment #2',5040
4422,'1998-05-10',87295,-283.21,'Monthly payment #3',5040
4422,'1998-06-12',46583,-283.21,'Monthly payment #4',5040
4422,'1998-07-13',34192,-283.21,'Monthly payment #5',5040
4422,'1998-08-11',46583,-283.21,'Monthly payment #6',5040
4422,'1998-09-10',51512,-283.2401,'Monthly payment #7',5040
4423,'1997-11-19',29387,3864.8,'Order was shipped',5041
4423,'2001-12-20',89097,-3334.8,'Single/final payment for purchase',19964
4423,'2001-11-14',15293,3334.8,'Order was shipped',19964
4423,'1998-01-22',46583,-1288.27,'Monthly payment #1',5041
4423,'1998-02-19',51512,-1288.27,'Monthly payment #2',5041
4423,'1998-03-25',89097,-1288.26,'Monthly payment #3',5041
4424,'1997-12-22',51512,3647.6,'Order was shipped',5042
4424,'1998-01-26',89097,-3647.6,'Single/final payment for purchase',5042
4425,'1997-11-05',87295,2430,'Order was shipped',5043
4425,'1997-12-07',89097,-2430,'Single/final payment for purchase',5043
4986,'1998-09-27',89097,-1497.8,'Monthly payment #1',8271
4986,'1997-12-31',15293,-2910.81,'Single/final payment for purchase',5604
4986,'1997-12-01',87295,2910.8,'Order was shipped',5604
4986,'1998-11-07',34192,-1497.79,'Monthly payment #2',8271
4987,'1997-10-26',51512,2661.6,'Order was shipped',5605
4987,'1997-11-26',15293,-2661.6,'Single/final payment for purchase',5605
4988,'1997-08-03',29387,3716.39,'Order was shipped',5606
4988,'1997-09-05',15293,-3716.38,'Single/final payment for purchase',5606
4989,'1998-01-02',51512,2944.3,'Order was shipped',5607
4989,'1998-02-05',15293,-2944.3,'Single/final payment for purchase',5607
4990,'1997-05-04',15293,-2924.19,'Single/final payment for purchase',5608
4990,'1997-03-29',29387,2924.19,'Order was shipped',5608
4991,'1997-11-28',87295,2690.8,'Order was shipped',5609
4991,'1997-12-29',15293,-2690.8,'Single/final payment for purchase',5609
4992,'1997-10-13',46583,-591.13,'Monthly payment #4',5610
4992,'1997-09-13',46583,-591.13,'Monthly payment #3',5610
4992,'1997-11-06',51512,-591.13,'Monthly payment #5',5610
4992,'1997-05-07',51512,3546.8,'Order was shipped',5610
4992,'1997-07-10',87295,-591.13,'Monthly payment #1',5610
4992,'1997-12-06',89097,-591.1501,'Monthly payment #6',5610
4992,'1997-08-07',46583,-591.13,'Monthly payment #2',5610
4993,'1997-08-21',87295,2828.8,'Order was shipped',5611
4993,'1997-09-23',89097,-2828.8,'Single/final payment for purchase',5611
4994,'1997-08-14',87295,-1440.06,'Monthly payment #1',5612
4994,'1997-09-10',34192,-1440.07,'Monthly payment #2',5612
4994,'1997-06-11',51512,2880.14,'Order was shipped',5612
4995,'1997-08-30',34192,-3808,'Single/final payment for purchase',5613
4995,'1997-07-29',15293,3808,'Order was shipped',5613
4996,'1997-04-06',89097,1870,'Order was shipped',5614
4996,'1997-05-08',34192,-1870,'Single/final payment for purchase',5614
4997,'2004-02-28',15293,-4458.39,'Single/final payment for purchase',25163
4997,'1997-11-16',15293,2009.8,'Order was shipped',5615
4997,'1997-12-21',34192,-2009.79,'Single/final payment for purchase',5615
4997,'2004-01-28',51512,4458.39,'Order was shipped',25163
4998,'1997-03-04',34192,-2248.12,'Single/final payment for purchase',5616
4998,'1997-01-28',15293,2248.12,'Order was shipped',5616
4999,'1998-10-11',29387,-1531.13,'Monthly payment #1',8571
4999,'1998-10-25',34192,-2633.26,'Single/final payment for purchase',8284
4999,'1998-09-12',87295,2633.28,'Order was shipped',8284
4999,'1998-07-20',29387,3062.28,'Order was shipped',8571
4999,'1997-12-05',51512,-1402.43,'Monthly payment #2',5617
4999,'1997-11-06',87295,-1402.45,'Monthly payment #1',5617
4999,'1997-09-04',51512,2804.87,'Order was shipped',5617
4999,'1998-11-01',34192,-1531.14,'Monthly payment #2',8571
5000,'1997-05-06',87295,2086.3,'Order was shipped',5618
5000,'1997-06-08',51512,-2086.3,'Single/final payment for purchase',5618
5001,'1997-02-18',15293,2237.5,'Order was shipped',5619
5001,'1997-03-19',51512,-2237.5,'Single/final payment for purchase',5619
5002,'1997-09-29',89097,-599.58,'Monthly payment #3',5620
5002,'1997-09-04',29387,-599.58,'Monthly payment #2',5620
5002,'1997-12-01',98766,-599.5999,'Monthly payment #5',5620
5002,'1997-05-29',29387,2997.92,'Order was shipped',5620
5002,'1997-07-29',34192,-599.58,'Monthly payment #1',5620
5002,'1997-10-29',34192,-599.58,'Monthly payment #4',5620
5003,'1997-09-08',87295,2847.78,'Order was shipped',5621
5003,'1997-10-14',98766,-2847.77,'Single/final payment for purchase',5621
5004,'1997-10-04',89097,2410,'Order was shipped',5622
5004,'1997-11-08',98766,-2410,'Single/final payment for purchase',5622
5005,'1997-07-08',29387,3668.39,'Order was shipped',5623
5005,'2003-07-03',98766,-597.29,'Monthly payment #4',22356
5005,'2003-06-05',51512,-597.3,'Monthly payment #3',22356
5005,'2003-05-05',51512,-597.3,'Monthly payment #2',22356
5005,'2003-04-04',46583,-597.3,'Monthly payment #1',22356
5005,'1997-08-14',98766,-3668.38,'Single/final payment for purchase',5623
5005,'2003-02-01',15293,2389.19,'Order was shipped',22356
5006,'1998-04-14',29387,-1461.77,'Monthly payment #2',5624
5006,'1998-03-11',29387,-1461.78,'Monthly payment #1',5624
5006,'1998-01-09',87295,2923.55,'Order was shipped',5624
5007,'1997-04-05',29387,-2960,'Single/final payment for purchase',5625
5007,'2002-06-21',29387,4107.5,'Order was shipped',20584
5007,'2002-07-21',98766,-4107.5,'Single/final payment for purchase',20584
5007,'1997-03-05',15293,2960,'Order was shipped',5625
5008,'1997-12-16',46583,-964.25,'Monthly payment #2',5626
5008,'1997-09-16',51512,1928.5,'Order was shipped',5626
5008,'1997-11-13',29387,-964.25,'Monthly payment #1',5626
5009,'1997-08-09',89097,2901.39,'Order was shipped',5627
5009,'1997-09-12',46583,-2901.38,'Single/final payment for purchase',5627
5010,'2002-03-25',87295,-988.98,'Monthly payment #3',19877
5010,'1997-04-10',51512,2977.8,'Order was shipped',5628
5010,'1997-05-12',46583,-2977.8,'Single/final payment for purchase',5628
5010,'2001-11-21',29387,2966.94,'Order was shipped',19877
5010,'2002-01-23',51512,-988.98,'Monthly payment #1',19877
5010,'2002-02-20',98766,-988.98,'Monthly payment #2',19877
5011,'1997-06-01',46583,-2997.92,'Single/final payment for purchase',5629
5011,'1997-04-26',15293,2997.92,'Order was shipped',5629
5012,'1997-04-29',29387,1797.8,'Order was shipped',5630
5012,'1997-06-27',51512,-224.72,'Monthly payment #1',5630
5012,'1997-07-29',51512,-224.72,'Monthly payment #2',5630
5012,'1997-08-30',34192,-224.72,'Monthly payment #3',5630
5012,'1997-10-01',46583,-224.72,'Monthly payment #4',5630
5012,'1997-11-03',34192,-224.72,'Monthly payment #5',5630
5012,'1997-12-01',89097,-224.72,'Monthly payment #6',5630
5012,'1997-12-30',34192,-224.72,'Monthly payment #7',5630
5012,'1998-01-26',51512,-224.7501,'Monthly payment #8',5630
5013,'1998-01-18',15293,-258.34,'Monthly payment #4',5631
5013,'1998-04-22',29387,-258.3601,'Monthly payment #7',5631
5013,'1998-02-23',29387,-258.34,'Monthly payment #5',5631
5013,'1997-11-26',15293,-258.34,'Monthly payment #2',5631
5013,'1997-10-27',98766,-258.34,'Monthly payment #1',5631
5013,'1997-08-22',15293,1808.4,'Order was shipped',5631
5013,'1997-12-26',51512,-258.34,'Monthly payment #3',5631
5013,'1998-03-28',34192,-258.34,'Monthly payment #6',5631
5014,'1998-05-13',46583,-945.53,'Monthly payment #3',5632
5014,'1998-01-13',15293,2836.6,'Order was shipped',5632
5014,'1998-03-18',46583,-945.54,'Monthly payment #1',5632
5014,'1998-04-13',34192,-945.53,'Monthly payment #2',5632
5015,'2003-01-31',87295,-2686.88,'Single/final payment for purchase',22420
5015,'2002-12-30',89097,2686.89,'Order was shipped',22420
5015,'1997-10-18',29387,2901.39,'Order was shipped',5633
5015,'1997-11-21',46583,-2901.38,'Single/final payment for purchase',5633
5016,'1997-11-07',51512,4341.79,'Order was shipped',5634
5016,'1997-12-11',46583,-4341.78,'Single/final payment for purchase',5634
5017,'1997-11-07',87295,3215,'Order was shipped',5635
5017,'1997-12-09',46583,-3215,'Single/final payment for purchase',5635
5018,'1997-07-22',34192,-634.66,'Monthly payment #1',5636
5018,'1997-08-25',87295,-634.66,'Monthly payment #2',5636
5018,'1997-05-21',87295,1903.97,'Order was shipped',5636
5018,'1997-09-23',46583,-634.65,'Monthly payment #3',5636
5019,'1997-02-09',29387,2579.64,'Order was shipped',5637
5019,'1997-03-14',46583,-2579.63,'Single/final payment for purchase',5637
5020,'1997-05-20',87295,3845.19,'Order was shipped',5638
5020,'1997-06-23',46583,-3845.19,'Single/final payment for purchase',5638
5021,'1997-04-27',15293,2857.19,'Order was shipped',5639
5021,'1997-06-28',51512,-571.44,'Monthly payment #1',5639
5021,'1997-07-27',34192,-571.44,'Monthly payment #2',5639
5021,'1997-08-30',29387,-571.44,'Monthly payment #3',5639
5021,'1997-09-28',51512,-571.44,'Monthly payment #4',5639
5021,'1997-10-25',46583,-571.4299,'Monthly payment #5',5639
5022,'1997-01-29',87295,3776.5,'Order was shipped',5640
5022,'1997-06-15',87295,-1258.84,'Monthly payment #3',5640
5022,'1997-04-15',87295,-1258.83,'Monthly payment #1',5640
5022,'1997-05-15',46583,-1258.83,'Monthly payment #2',5640
5023,'1997-04-26',51512,2885.62,'Order was shipped',5641
5023,'1997-05-27',46583,-2885.62,'Single/final payment for purchase',5641
5024,'1997-02-02',87295,2402.6,'Order was shipped',5642
5623,'1997-07-01',51512,3275.64,'Order was shipped',6241
5623,'1997-08-03',29387,-3275.63,'Single/final payment for purchase',6241
5624,'2003-01-11',29387,4225.2,'Order was shipped',22255
5624,'2003-02-12',46583,-4225.19,'Single/final payment for purchase',22255
5624,'1997-05-11',29387,-1914.4,'Single/final payment for purchase',6242
5624,'1997-04-07',29387,1914.4,'Order was shipped',6242
5625,'1997-04-09',29387,-1832.34,'Monthly payment #1',6243
5625,'1997-05-17',46583,-1832.35,'Monthly payment #2',6243
5625,'1997-02-12',51512,3664.69,'Order was shipped',6243
5626,'1997-04-18',15293,3212.42,'Order was shipped',6244
5626,'1997-05-21',46583,-3212.42,'Single/final payment for purchase',6244
5627,'1997-05-11',46583,-2149,'Single/final payment for purchase',6245
5627,'1997-04-06',29387,2149,'Order was shipped',6245
5628,'1997-12-29',51512,2003.75,'Order was shipped',6246
5628,'1998-01-27',46583,-2003.75,'Single/final payment for purchase',6246
5629,'1997-11-16',87295,3073,'Order was shipped',6247
5629,'1997-12-20',46583,-3073,'Single/final payment for purchase',6247
5630,'1997-04-14',29387,3833,'Order was shipped',6248
5630,'1997-07-15',87295,-1916.5,'Monthly payment #2',6248
5630,'1997-06-14',34192,-1916.5,'Monthly payment #1',6248
5631,'1997-07-12',46583,-308.33,'Monthly payment #2',6249
5631,'1997-08-09',29387,-308.33,'Monthly payment #3',6249
5631,'1997-09-11',34192,-308.33,'Monthly payment #4',6249
5631,'1997-10-15',15293,-308.33,'Monthly payment #5',6249
5631,'1997-11-11',34192,-308.3501,'Monthly payment #6',6249
5631,'1997-06-10',15293,-308.33,'Monthly payment #1',6249
5631,'1997-04-10',29387,1850,'Order was shipped',6249
5632,'1997-07-29',51512,2977.8,'Order was shipped',6250
5632,'1997-08-30',34192,-2977.8,'Single/final payment for purchase',6250
5633,'1997-08-20',87295,1833.75,'Order was shipped',6251
5633,'1997-09-22',34192,-1833.75,'Single/final payment for purchase',6251
5634,'1998-07-17',15293,-335.61,'Monthly payment #3',6252
5634,'1999-04-29',46583,-335.5701,'Monthly payment #8',6252
5634,'1999-04-05',89097,-335.61,'Monthly payment #7',6252
5634,'1999-01-23',15293,-335.61,'Monthly payment #6',6252
5634,'1998-09-06',34192,-335.61,'Monthly payment #4',6252
5634,'1998-07-04',15293,-335.61,'Monthly payment #2',6252
5634,'1998-06-16',51512,-335.61,'Monthly payment #1',6252
5634,'1998-03-18',51512,2684.85,'Order was shipped',6252
5634,'1998-10-10',29387,-335.61,'Monthly payment #5',6252
5635,'1998-04-29',51512,2306.6,'Order was shipped',6253
5635,'1998-07-04',87295,-384.43,'Monthly payment #1',6253
5635,'1998-11-15',29387,-384.43,'Monthly payment #2',6253
5635,'1998-12-12',46583,-384.43,'Monthly payment #3',6253
5635,'1999-01-17',29387,-384.43,'Monthly payment #4',6253
5635,'1999-04-15',29387,-384.43,'Monthly payment #5',6253
5635,'1999-06-28',46583,-384.4402,'Monthly payment #6',6253
5636,'1998-09-03',34192,-275.63,'Monthly payment #4',6254
5636,'1998-12-09',34192,-275.6,'Monthly payment #7',6254
5636,'1998-10-16',51512,-275.63,'Monthly payment #5',6254
5636,'1998-08-08',98766,-275.63,'Monthly payment #3',6254
5636,'1998-07-09',15293,-275.63,'Monthly payment #2',6254
5636,'1998-05-04',89097,-275.63,'Monthly payment #1',6254
5636,'1998-02-23',51512,1929.38,'Order was shipped',6254
5636,'1998-11-10',87295,-275.63,'Monthly payment #6',6254
5637,'1999-01-15',15293,-1688.15,'Monthly payment #1',6255
5637,'1998-11-04',87295,3376.3,'Order was shipped',6255
5637,'1999-03-29',34192,-1688.15,'Monthly payment #2',6255
5638,'1998-07-21',34192,-2429.51,'Single/final payment for purchase',6256
5638,'2003-05-18',29387,-2196.08,'Monthly payment #2',22278
5638,'2003-02-15',51512,4392.17,'Order was shipped',22278
5638,'2003-04-20',89097,-2196.07,'Monthly payment #1',22278
